,username,date,retweets,Sentiment,favorites,text,geo,mentions,id,permalink,processed_text,hashtags,emoticons,Count,HashtagSentiment,Directed
16089,GloomandDoom1,10/2/16 16:24,0,Neutral,1,"""If IRS OK with #Trump 's LOSSES & #Hillary 's SPEAKING BRIBES~I'm OK Too~Lets Talk Trade & Jobs~ #msnbc #foxnews #nyt #cnn #wapo #nbc #bernie""",,,"""782723030476783616""",https://twitter.com/GloomandDoom1/status/782723030476783616,irs ok  trump 's loss &  hillary 's speaking bribes~i'm ok too~lets talk trade & jobs~  msnbc  foxnews  nyt  cnn  wapo  nbc  bernie,#Hillary,,,,
15917,willspeakout,10/1/16 15:25,0,Negative,1,"""@Jacobnbc hmmmm I wonder if #Hillary is jealous of the love we have for #Trump ? @CaraOriel""",,@Jacobnbc @CaraOriel,"""782345802278703104""",https://twitter.com/willspeakout/status/782345802278703104, hmmmm wonder  hillary jealous love  trump ? ,#Hillary,,,,
23315,GloomandDoom1,10/1/16 16:53,0,,2,"""#Hillary Crazy NeoNazi Coup in #Kiev May Have Ruined #EU ~Which Was Already In Trouble #msnbc #foxnews #nyt #cnn #wapo #nbc #cbs #trump #ap""",,,"""782367787889135616""",https://twitter.com/GloomandDoom1/status/782367787889135616, hillary crazy neonazi coup  kiev may ruined  eu ~which already trouble  msnbc  foxnews  nyt  cnn  wapo  nbc  cbs  trump  ap,#cbs,,,,
30912,amrightnow,10/5/16 15:30,1,,1,"""#trump äóì Hillary äó»s Private Islandäó #RudyGiuliani #realbencarson #MikeHuckabee #newtgingrich #oreillyfactor #Hannity pic.twitter.com/CrulpF8WWj""",,,"""783796599923302401""",https://twitter.com/amrightnow/status/783796599923302401, trump í¢ŒóŒì hillary í¢ŒóŒ»s private islandí¢ŒóŒ  rudygiuliani  realbencarson  mikehuckabee  newtgingrich  oreillyfactor  hannity ,#MikeHuckabee,,,,
32440,RickSchmull,10/2/16 15:49,1,Negative,2,"""US VOTERS Aged 18 - 34 Now Consider #HILLARY #CLINTON As MORE DISHONEST Than #TRUMP . Wow http://www. thedailybeast.com/articles/2016/ 10/02/despite-donald-trump-many-bernie-sanders-supporters-won-t-forgive-hillary-clinton.html äó_""",,,"""782714032025403393""",https://twitter.com/RickSchmull/status/782714032025403393,u voter aged 18 - 34 consider  hillary  clinton dishonest  trump . wow  thedailybeast.com/articles/2016/ 10/02/despite-donald-trump-many-bernie-sanders-supporters-won-t-forgive-hillary-clinton.html í¢ŒóŒ_,#HILLARY,,,,
9102,CindyLeinwand12,10/12/16 16:43,0,Positive,1,"""How have Hillary & Trump spent the last 30 years? https://www. hillaryclinton.com/tools/way-back -when/?light=false&utm_medium=sms&utm_source=mc&utm_campaign=20161012sms äó_""",,,"""786351595856420864""",https://twitter.com/CindyLeinwand12/status/786351595856420864,hillary & trump spent last 30 years?  hillaryclinton.com/tools/way-back -when/?light=false&utm_medium=sms&utm_source=mc&utm_campaign=20161012sms í¢ŒóŒ_,,,,,
15037,keg2014gek,10/13/16 16:38,0,Negative,0,"""Leaked Email: Hillary Supports TPP in Private, Denounces in Public http://www. infowars.com/leaked-email-h illary-supports-tpp-in-private-denounces-in-public/ äó_ #Trump #AltRight @DRUDGE @realDonaldTrump https:// twitter.com/KitDaniels1776 /status/786636658347126787 äó_""",,@DRUDGE @realDonaldTrump,"""786712794834042880""",https://twitter.com/keg2014gek/status/786712794834042880,"leaked email: hillary support tpp private, denounces public  infowars.com/leaked-email-h illary-supports-tpp-in-private-denounces-in-public/ í¢ŒóŒ_  trump  altright    twitter.com/kitdaniels1776 /status/786636658347126787 í¢ŒóŒ_",#Trump,,,,
32249,baggkid,10/8/16 16:52,1,Negative,4,"""We Love Our Trump , We Hate Hillary #Trump #debates #debate2016 #CrookedHillary #LiarHillary #Liar #Benghazi pic.twitter.com/OCxMPhzk9R""",,,"""784904336664956928""",https://twitter.com/baggkid/status/784904336664956928,"love trump , hate hillary  trump  debate  debate2016  crookedhillary  liarhillary  liar  benghazi ",#debates,,,,
6588,makhondlovu,10/9/16 16:52,0,Positive,1,"""Why is this Hillary 's fault? Again I don't understand what the f!cking logic was? Tjooo Trump has me heated.""",,,"""785266625150906368""",https://twitter.com/makhondlovu/status/785266625150906368,hillary 's fault? don't understand f!cking logic was? tjooo trump heated.,,,,,
39529,nartured,10/11/16 16:46,0,,0,"""Hillary Clinton urges Florida voters not to elect 'climate change denier' Trump http:// bit.ly/2duB4vX #HillaryClinton #Climatechange""",,,"""785989883093327873""",https://twitter.com/nartured/status/785989883093327873,hillary clinton urge florida voter elect 'climate change denier' trump  bit.ly/2dub4vx  hillaryclinton  climatechange,#Climatechange,,,,
22286,GloomandDoom1,10/9/16 16:56,0,Negative,1,"""#Debate #Trump 's Economic Agenda Mimics #Bernie ~ #Hillary has NO Plan She's Just an Opportunistic Liar~ #feelthebern #npr #nyt #cnn #wapo #nbc""",,,"""785267759433195520""",https://twitter.com/GloomandDoom1/status/785267759433195520, debate  trump 's economic agenda mimic  bernie ~  hillary plan she's opportunistic liar~  feelthebern  npr  nyt  cnn  wapo  nbc,#nyt,,,,
11563,REPLAY585,10/15/16 16:04,0,Neutral,2,"""@FistofGod18 its an embarrassment to our great nation. I'm not pro hillary but Trump is a fucking moron""",,@FistofGod18,"""787428868080672768""",https://twitter.com/REPLAY585/status/787428868080672768, embarrassment great nation. i'm pro hillary trump fucking moron,,,,,
19741,16ABELINCOLN,10/13/16 16:24,0,Negative,1,"""MAKE IT VIRAL #UTAH #MICHIGAN #MAGA #MILLENNIALS #CLINTON #FLORIDA #NorthCarolina #COLORADO WISCONSIN #TRUMP #HILLARY #Bern4Trump https:// twitter.com/warboysbobby/s tatus/786703491389591552 äó_""",,,"""786709302509707264""",https://twitter.com/16ABELINCOLN/status/786709302509707264,make viral  utah  michigan  maga  millennials  clinton  florida  northcarolina  colorado wisconsin  trump  hillary  bern4trump  twitter.com/warboysbobby/s tatus/786703491389591552 í¢ŒóŒ_,#MAGA,,,,
8542,davidjones720,10/11/16 16:28,0,,0,"""Hillary Clinton Leads Donald Trump by 9 Points, Poll Finds - The Wall Street Journal https:// apple.news/A0OIyjTALQDCoF kzvGao63w äó_""",,,"""785985520589471744""",https://twitter.com/davidjones720/status/785985520589471744,"hillary clinton lead donald trump 9 points, poll find - wall street journal  apple.news/a0oiyjtalqdcof kzvgao63w í¢ŒóŒ_",,,,,
18350,SwidSeor,10/14/16 16:21,0,,1,"""Just days ago the #DNC was outraged by #Trump calling for an investigation of #Hillary ..... https:// twitter.com/ericgeller/sta tus/787029893536223232 äó_""",,,"""787070811760799745""",https://twitter.com/SwidSeor/status/787070811760799745,day ago  dnc outraged  trump calling investigation  hillary .....  twitter.com/ericgeller/sta tus/787029893536223232 í¢ŒóŒ_,#Hillary,,,,
7344,deeevav,10/10/16 16:47,0,Positive,0,"""A plea to all who dont support hillary : please sit this election out. Dont be an idiot &vote for trump , do the smart thing & vote for no one""",,,"""785627909218246660""",https://twitter.com/deeevav/status/785627909218246660,"plea dont support hillary : please sit election out. dont idiot &vote trump , smart thing & vote one",,,,,
36598,ElecTrumPence,10/5/16 15:40,3,Negative,2,"""Trump would #MAGA while Hillary deleted emails, and got people killed in #Bengazi #NeverForget #IfTrumpAndHillaryHookedUp""",,,"""783799104660922368""",https://twitter.com/ElecTrumPence/status/783799104660922368,"trump would  maga hillary deleted emails, got people killed  bengazi  neverforget  iftrumpandhillaryhookedup",#NeverForget,,,,
33926,TwoEyeHead,10/8/16 16:38,3,,1,"""Hillary Clinton experiences Donald Trump in Head2head V2 #Election2016 #ElectionUSA #auspol #insiders pic.twitter.com/WEZMIw8NP3""",,,"""784900766200766465""",https://twitter.com/TwoEyeHead/status/784900766200766465,hillary clinton experience donald trump head2head v2  election2016  electionusa  auspol  insider ,#auspol,,,,
36771,LanceSilver1,10/6/16 16:48,13,Negative,8,"""@AppSame TRUMP NEVER SOLD 20% OF #USA #URANIUM TO #ROSATOM #RUSSIAN GOV COMPANY #HILLARY DID : #TRUMP DIDN'T ? https://www. google.com/url?sa=t&sourc e=web&rct=j&url=http://www.breitbart.com/2016-presidential-race/2016/07/25/flashback-clintons-loved-russia-enough-sell-uranium/amp/&ved=0ahUKEwitu7PqrcfPAhWCXD4KHY4kDssQFggsMAE&usg=AFQjCNFGW-lzR06m-oKy7sZHLvv8tF6PrA&sig2=J_b-JPAU1N_Kw2ZzM7_iOw äó_ https:// twitter.com/RobertWRogers1 /status/784175451124162560 äó_""",,@AppSame,"""784178607908392960""",https://twitter.com/LanceSilver1/status/784178607908392960, trump never sold 20%  usa  uranium  rosatom  russian gov company  hillary :  trump didn't ?  google.com/url?sa=t&sourc e=web&rct=j&url= í¢ŒóŒ_  twitter.com/robertwrogers1 /status/784175451124162560 í¢ŒóŒ_,#ROSATOM,,,,
26531,ThePromisedWLAN,10/9/16 16:46,1,Neutral,3,"""Trump only lost one point after pussygate. How much leverage will it give Hillary in the #debate tonight? http://www. politico.com/story/2016/10/ politico-morning-consult-poll-229394 äó_""",,,"""785265250136391684""",https://twitter.com/ThePromisedWLAN/status/785265250136391684,trump lost one point pussygate. much leverage give hillary  debate tonight?  politico.com/story/2016/10/ politico-morning-consult-poll-229394 í¢ŒóŒ_,#debate,,,,
4086,LindaBSearcy,10/5/16 15:51,0,Negative,0,""""" Hillary Clinton SATAN In Grandma Form!"" -Former Berner, Now Donald Trump https:// youtu.be/tJgnvNsj450""",,,"""783801922998251520""",https://twitter.com/LindaBSearcy/status/783801922998251520," hillary clinton satan grandma form!"" -former berner, donald trump  youtu.be/tjgnvnsj450",,,,,
14054,SuckMyLEFTJuan,10/8/16 16:39,1,,1,"""@Jeremy20_9 @billclinton @KevinSpacey @christuckerreal Keep RTing it... posting it on journos' walls, #Trump 's, #Hillary 's walls etc..""",,@Jeremy20_9 @billclinton @KevinSpacey @christuckerreal,"""784901071063744512""",https://twitter.com/SuckMyLEFTJuan/status/784901071063744512,"    keep rting it... posting journos' walls,  trump 's,  hillary 's wall etc..",#Trump,,,,
34624,AntiDuper,10/3/16 16:15,1,Negative,1,"""#Hillary raked In $22 Mil from these big corps. Refuses to release speeches but vows to be tough on them #Trump #Ouote #Music #RT #Free #NP https:// twitter.com/garrett_runyan /status/781292353831235584 äó_""",,,"""783083110938271744""",https://twitter.com/AntiDuper/status/783083110938271744, hillary raked $22 mil big corps. refuse release speech vow tough  trump  ouote  music   free  np  twitter.com/garrett_runyan /status/781292353831235584 í¢ŒóŒ_,#Music,,,,
7183,missliberties,10/10/16 16:53,0,,0,"""Trump Blamed Hillary for Allowing Him to Not Pay Federal Taxes, Or 'Why Do You Make Me Hit You?' http:// thedailybanter.com//2016/10/trump -blamed-hillary-for-allowing-him-to-not-pay-federal-taxes/ äó_ via @thedailybanter""",,@thedailybanter,"""785629402277171201""",https://twitter.com/missliberties/status/785629402277171201,"trump blamed hillary allowing pay federal taxes, 'why make hit you?'  thedailybanter.com//2016/10/trump -blamed-hillary-for-allowing-him-to-not-pay-federal-taxes/ í¢ŒóŒ_ via ",,,,,
26174,WomenWorldNews1,10/13/16 16:33,1,Positive,1,"""#Politico #Politics Trump goes full Breitbart: ' Hillary Clinton meets in secret with interna... http:// politi.co/2dNGa9W #UniteBlue #Tcot""",,,"""786711374193758208""",https://twitter.com/WomenWorldNews1/status/786711374193758208, politico  politics trump go full breitbart: ' hillary clinton meet secret interna...  politi.co/2dnga9w  uniteblue  tcot,#Tcot,,,,
11146,writeinbernie,10/15/16 16:35,1,,6,"""Impossible to measure the contempt I feel for Hillary Big-Bank-Speaker-and-Walmart-Boardmember Clinton and Donald I'm-A-F***ing-Psycho Trump""",,,"""787436660891918336""",https://twitter.com/writeinbernie/status/787436660891918336,impossible measure contempt feel hillary big-bank-speaker-and-walmart-boardmember clinton donald i'm-a-f***ing-psycho trump,,,,,
23758,GloomandDoom1,10/2/16 16:10,0,Positive,1,"""Anyone Can Lose Money ONLY with #Trump its Always on A GRAND Scale #msnbc #foxnews #nyt #cnn #hillary #npr #wapo #ap ##cnn #bbc #wsj #nbc""",,,"""782719314424135680""",https://twitter.com/GloomandDoom1/status/782719314424135680,anyone lose money  trump always grand scale  msnbc  foxnews  nyt  cnn  hillary  npr  wapo  ap   cnn  bbc  wsj  nbc,#hillary,,,,
18053,JoyfulBluebird,10/12/16 16:27,2,Positive,2,"""A Trump presidency would be a threat to animals everywhere! Vote for #Hillary -- #NeverTrump ! https:// twitter.com/_AnimalAdvocat e/status/786345783947780096 äó_""",,,"""786347556875886592""",https://twitter.com/JoyfulBluebird/status/786347556875886592,trump presidency would threat animal everywhere! vote  hillary --  nevertrump !  twitter.com/_animaladvocat e/status/786345783947780096 í¢ŒóŒ_,#Hillary,,,,
555,cassymiller17,10/1/16 15:56,0,Negative,3,"""""I'm not pro-Trump, I'm just anti- Hillary "" pic.twitter.com/pROrSP7mzw""",,,"""782353404685389825""",https://twitter.com/cassymiller17/status/782353404685389825,"i'm pro-trump, i'm anti- hillary "" ",,,,,
26344,MyAlonsoWorld,10/9/16 16:58,0,,0,"""In an hour the 2nd #debate between Hillary and Trump will begin. Did you miss the 1st one? Check it out here! -> https:// youtu.be/h0MaOzKQOD8""",,,"""785268167463411713""",https://twitter.com/MyAlonsoWorld/status/785268167463411713,hour 2nd  debate hillary trump begin. miss 1st one? check here! ->  youtu.be/h0maozkqod8,#debate,,,,
8098,e2000advertisin,10/11/16 16:52,0,,0,"""Trump Supporters Are Threatening To Overthrow The Government If Hillary Clinton Wins http:// fb.me/84arNBYUq""",,,"""785991378761318401""",https://twitter.com/e2000advertisin/status/785991378761318401,trump supporter threatening overthrow government hillary clinton win  fb.me/84arnbyuq,,,,,
12428,JeffreyGuterman,10/1/16 15:57,9,Positive,44,"""Thanks. I never thought I'd even consider voting for #Hillary but now I am if only to keep #Trump out of the @whitehouse . Stay tuned... https:// twitter.com/puppymnkey/sta tus/782352774176444416 äó_""",,@whitehouse,"""782353752959414272""",https://twitter.com/JeffreyGuterman/status/782353752959414272,thanks. never thought i'd even consider voting  hillary keep  trump  . stay tuned...  twitter.com/puppymnkey/sta tus/782352774176444416 í¢ŒóŒ_,#Trump,,,,
41470,JeanyusJune,10/14/16 16:36,0,Negative,0,"""DONALD TRUMP IS NOT A VIRGIN, AND NEITHER IS HIS MOUTH! CAN WE PLEASE TALK ABOUT HOW CORRUPT HILLARY FU**ING CLINTON IS?! #boycottCNN https:// twitter.com/CNN/status/787 067464916041728 äó_""",,,"""787074661209214976""",https://twitter.com/JeanyusJune/status/787074661209214976,"donald trump virgin, neither mouth! please talk corrupt hillary fu**ing clinton is?!  boycottcnn  twitter.com/cnn/status/787 067464916041728 í¢ŒóŒ_",#boycottCNN,,,,
40005,Turdykins,10/12/16 16:47,5,,3,"""#Wikileaks #PodestaEmails5 #Hillary #Trump #HillaryClinton From Brent Budowsky ""Warning to Hillary Clinton"". https:// wikileaks.org/podesta-emails /emailid/6900 äó_ pic.twitter.com/G2y3Plk4r4""",,,"""786352528325615616""",https://twitter.com/Turdykins/status/786352528325615616," wikileaks  podestaemails5  hillary  trump  hillaryclinton brent budowsky ""warning hillary clinton"".  wikileaks.org/podesta-emails /emailid/6900 í¢ŒóŒ_ ",#PodestaEmails5,,,,
30469,iluvspringtime,10/11/16 16:18,5,Negative,4,"""#HillaryClinton hasNoHeart.NoEmpathy. #Hillary weWillNever4Get #Benghazi ! #GOP #USA #TrumpsArmy #TrumpTrain #MAGA #Trump #Trumppence #Trump16 https:// twitter.com/iluvspringtime /status/785979276008886272 äó_""",,,"""785982812767653888""",https://twitter.com/iluvspringtime/status/785982812767653888, hillaryclinton hasnoheart.noempathy.  hillary wewillnever4get  benghazi !  gop  usa  trumpsarmy  trumptrain  maga  trump  trumppence  trump16  twitter.com/iluvspringtime /status/785979276008886272 í¢ŒóŒ_,#GOP,,,,
